post_id,instances,ocr,verdicts,text
13,"[(1634131174.0, 'fb')]","[('전라도에서만 국가유공자가\n50만이라니.이게\n말이되나?김대중.노무현 정권하에서\n국가유공자까지 하면\n70만명이다.이들 직계가족들 까지\n혜택을 받으니 그 수는 상상을 초월\n한다.103만 공무원중 60~70%가\n이들 유공자들이다.제도 정비가\n시급하다.', 'Only in Jeolla Province, people of national merit\n500,000. This is\nDoes it make sense? Under the Kim Dae-jung and Roh Moo-hyun regimes\nEven national merit\n700,000 people, including their immediate family\nThe number of benefits is beyond imagination\n60~70% of 10.03 million civil servants\nThese are the people of merit.\nurgent', [('kor', 1.0)])]",['False information'],
14,"[(1657414536.0, 'fb')]","[('새로운 조지아가이드스톤이 세워졌어요!!!\n유엔뉴스\n승인 2022.07.08 22:45 | 최종 수정 2022.07.08 23:06\n자료:SpecialQForces sQuad\nThat new Georgia Guidestone is PERFECTO!!!\n그 새로운 조지아 가이드스톤은 완벽해!!!\n여러분은 어떻게 생각하십니까??\n의견 0\nUNNEWS', 'A new Georgia guidestone has been established!!!\nUN News\nApproval 2022.07.08 22:45 | Last modified 2022.07.08 23:06\nMaterial:SpecialQForces sQuad\nThat new Georgia Guidestone is PERFECTO!!!\nThat new Georgia guidestone is perfect!!!\nWhat do you think??\n0 comments\nUNNEWS', [('kor', 0.6971482634544373), ('eng', 0.2676151394844055)])]",['False information'],"('여러분은 어떻게 생각하십니까?\n저는 섬칫하네요\n황금 최고의 평화시대가 잠시오구\n그 뒤에는 정말 무서운 \n단일화 ㆍ우상시대가 온다는게\n맞는것 같으네요', ""What do you think?\nI'm terrified\nThe golden age of best peace is coming soon\nafter that it's really scary\nUnification ㆍThe age of idols is coming\nI guess that's right"", [('kor', 1.0)])"
15,"[(1571672166.0, 'tw')]",[],[],"('Avion de lufthansa, se accideneta al querer aterrizar, la astucia del piloto evitá que ocurra una gran tragedia', 'Lufthansa plane, crashes when trying to land, the cunning of the pilot prevents a great tragedy from happening', [('spa', 1.0)])"
16,"[(None, 'fb')]",[],[],"('18 people have died in the power tools accident today at Milemi few kilometers from Kasama today at 16hrs.', '18 people have died in the power tools accident today at Milemi few kilometers from Kasama today at 16hrs.', [('eng', 1.0)])"
17,"[(1616552850.0, 'fb'), (1616552973.0, 'fb'), (1616493207.0, 'fb')]","[('콜오나는 독감보다 약한\n감기바이러스다.\n대다수 건강한 국민은\n자연면역력으로 치유가\n가능하므로 콜오나백신을\n맞을 필요가 없다.\n콜오나는\n상기도바이러스이므로\n백신으로 혈액 속에 만든\n인공적인 항체와 만날 수가\n없어 집단면역은\n불가능하다.\n백신접종의 이익이 부작용\n피해보다 크다는 주장은\n과학적인 근거가 있나?', 'Kolona is weaker than the flu\na cold virus\nMost healthy people\nHealing with natural immunity\nBecause it is possible, the Kolona vaccine\nno need to be right\nCallona\nBecause upper respiratory tract virus\nmade in the blood as a vaccine\nencounter with artificial antibodies\nNo herd immunity\nimpossible.\nVaccination benefits and side effects\nclaim that the damage is greater than\nIs there any scientific basis?', [('kor', 0.971153974533081)])]",['False information'],
18,"[(1657223333.0, 'fb'), (1654696172.0, 'fb')]",[],['False information.'],"('PRASA is hiring for fixing of railway lines from Soweto to Johannesburg. Take your certified ID copy and Original ID book to Johannesburg Park Station, Prasa Offices. Kindly plug others.', 'PRASA is hiring for fixing of railway lines from Soweto to Johannesburg. Take your certified ID copy and Original ID book to Johannesburg Park Station, Prasa Offices. Kindly plug others.', [('eng', 1.0)])"
19,"[(1596635492.0, 'fb')]",[],['False information'],"('Vehicle suspension testing machine installed successfully by BMC in MUMBAI..\nWHAT AN AMAZING TECHNOLOGY ... 👇', 'Vehicle suspension testing machine installed successfully by BMC in MUMBAI..\nWHAT AN AMAZING TECHNOLOGY ... 👇', [('eng', 1.0)])"
20,"[(1615337789.0, 'fb')]","[('혈압 정상수치\n140/100\n(mmHg)\nWHO 성인 혈압 권고치 입니다\n한국만 120/80....약 팔아 먹기위해\n의사협회의 압력이 이렇게 막강 합니다', 'normal blood pressure\n140/100\n(mmHg)\nWHO recommendations for adult blood pressure\nOnly in Korea 120/80....To sell medicine\nThe pressure of the medical association is so strong', [('kor', 0.808708131313324), ('eng', 0.08710715919733047)])]",['False information'],
21,"[(1634160304.0, 'fb')]",[],['Altered photo'],"('같은 김정은으로 보이지 않는데.. 지금은 세상에서 일어나는 일들이 마치 연극이나 영화를 보는것 같다', ""It doesn't look like the same Kim Jong-un, but what's happening in the world right now is like watching a play or a movie."", [('kor', 1.0)])"
22,"[(1647795974.0, 'fb')]",[],['False information'],"('우리는 백신 캠페인 이후 쓰러지는 여러 스포츠맨, 기자, 인터뷰를 보았습니다.\n 물론 우리는 실제로 카메라 앞에 있는 장면만 볼 수 있습니다.\n\n 더 나쁜 것은 다른 사람들의 삶을 책임지는 사람들에게 일어날 때입니다 ...', ""We've seen several sportsmen, journalists, and interviews fall apart after the vaccine campaign.\n Of course, we can only see the scene that is actually in front of the camera.\n\n Even worse is when it happens to those who take responsibility for the lives of others..."", [('kor', 1.0)])"
23,"[(1625899875.0, 'fb')]",[],['Partly false information'],"('Se acuerdan cuando decían que los autos eléctricos eran relativamente más ecológicos?\n\nAhora es hermoso verlos crecer libres en la naturaleza 🤗', ""Remember when they said that electric cars were relatively more ecological?\n\nNow it's beautiful to see them grow free in nature 🤗"", [('spa', 1.0)])"
24,"[(1648054763.0, 'tw')]",[],[],"('@POTUS This is a live shot of The White House today. The trees are mostly bare and the weather is overcast. \n\nYour administration is a propaganda machine spreading misinformation. \n\nEverything you do and say is a lie.', '@POTUS This is a live shot of The White House today. The trees are mostly bare and the weather is overcast. \n\nYour administration is a propaganda machine spreading misinformation. \n\nEverything you do and say is a lie.', [('eng', 1.0)])"
25,"[(1657154221.0, 'fb')]",[],['False information'],"('UN ATAQUE DE AVISPONES...TENGO ENTENDIDO ES EN LOS ESTADOS UNIDOS.   OJO.\nCUANDO HAYA UN PANAL HAY QUE MANTENER LA CALMA.  LOS RUIDOS Y MOVIMIENTOS BRUSCOS LAS ALTERAN.', 'A HORNET ATTACK...I UNDERSTAND IT IS IN THE UNITED STATES. EYE.\nWHEN THERE IS A HONEYCOMB YOU HAVE TO KEEP CALM. THE NOISES AND SURPRISING MOVEMENTS ALTER THEM.', [('spa', 1.0)])"
26,"[(1621922036.0, 'fb')]",[],['False information'],"('남의것 뺏어가서 가짜 유적지를 만들고 우리나라 진짜 유적지는 장난감으로 덮으려하는 망할놈들!!', ""Damn people who take other people's things and make fake ruins and cover up real ruins in Korea with toys!!"", [('kor', 1.0)])"
27,"[(1646032311.0, 'fb'), (1646032334.0, 'fb')]",[],['False information'],"('Un piloto ucraniano denominado el fantasma de Kiev  combatiendo y esquivando el ataque ruso  el héroe que derivo 6 aviones ruso \n amén para ese valiente piloto 🙏🙏🙏🙏🙏', 'A Ukrainian pilot called the ghost of kyiv fighting and dodging the Russian attack the hero who drifted 6 Russian planes\n amen for that brave pilot 🙏🙏🙏🙏🙏', [('spa', 1.0)])"
28,"[(1599651574.0, 'fb')]",[],['False information'],"('이태리 의사의 코로나 검사와 백신에대한 \n경고‼️‼️\n\n꼬로놔주솨안돼!경고야!コロナワクチンけ警告\n\n즉삭제각 영상이라 또 내 놀방영상이랑 짬뽕해서 \n올려놨지용~ㅎ\n\n구독과 좋아요 주세용~💕💕', ""Italian doctors about coronavirus tests and vaccines\nWarning‼️‼️\n\nDon't let it go! It's a warning! Coronawakchinke警告\n\nIt's a deleted video, so it's mixed with my playroom video.\nI uploaded it~\n\nPlease subscribe and like~💕💕"", [('kor', 1.0)])"
29,"[(1601298279.0, 'fb')]",[],['Partly false information'],"('Fake Cashewnuts, made in Kerala. Prepared by mixing maida and some chemicals, which gives the same taste of original cashew nuts cost per Kg is only Rs.300 to Rs.400.\nCreate awareness by sharing in your the groups', 'Fake Cashewnuts, made in Kerala. Prepared by mixing maida and some chemicals, which gives the same taste of original cashew nuts cost per Kg is only Rs.300 to Rs.400.\nCreate awareness by sharing in your the groups', [('eng', 1.0)])"
30,"[(1648089860.0, 'fb')]","[('[속보] 일본 후쿠시마 원전\n붉은 화염에 휩싸인 상황\n현재상황\n""죽고싶지 않다면 지금 당장 도망쳐야한다”\n긴급대피령 내려진 흐쿠시마 7:34', '[Breaking News] Japan\'s Fukushima Nuclear Power Plant\nengulfed in red flames\ncurrent situation\n""If you don\'t want to die, you have to run away now.""\nHkushima, where an emergency evacuation order was issued 7:34', [('kor', 0.9320526123046875)])]",['Partly false information'],"('★긴급] 일본 후쿠시마 원전에서 화재 발생...일본 정부, 주변 지역에 긴급대피령 선포★\n', '★Emergency] A fire breaks out at the Fukushima nuclear power plant in Japan...The Japanese government declares an emergency evacuation order in the surrounding area★\n', [('kor', 1.0)])"
31,"[(1643717173.0, 'fb')]",[],['Missing context'],"('로이터통신에 따르면 코와는 임상 3상 시험 결과 ""이버멕틴이 오미크론 변이에 대한 항바이러스 효과가 있다는 것을 확인했다""고 31일 발표했다.', 'According to Reuters, Kowa announced on the 31st that the results of the phase 3 clinical trial ""confirmed that ivermectin has an antiviral effect against omicron mutations.""', [('kor', 1.0)])"
32,"[(1610424636.0, 'fb')]",[],[],"('🚨🚨🚨🚨BREAKING NEWS🚨🚨🚨🚨🚨\nEL PRESIDENTE TRUMP ACTIVA LA LEY DE INSURRECCIÓN. LOS MILITARES HAN TOMADO EL CONTROL. \n\nESTOS DÍAS ANTES DEL 20 DE ENERO SERÁN MUY FUERTES. YA COMENZARON LOS APAGONES EN VARIOS PAÍSES DEL MUNDO Y TAMBIÉN LOS ARRESTOS.\n\nMR. ROMERO TV.', '🚨🚨🚨🚨BREAKING NEWS🚨🚨🚨🚨🚨\nPRESIDENT TRUMP ACTIVATES THE INSURRECTION LAW. THE MILITARY HAVE TAKEN CONTROL.\n\nTHESE DAYS BEFORE JANUARY 20 WILL BE VERY STRONG. THE BLACKOUTS HAVE ALREADY BEGUN IN SEVERAL COUNTRIES OF THE WORLD AND ALSO THE ARRESTS.\n\nMR. ROMEROTV.', [('spa', 1.0)])"
33,"[(1596341010.0, 'fb')]","[('Protest in Berlin today against the CV Lockdown and\ntyranny\nMSM says 20-25K protesters with most headlines\nsays ""thousands of people""...000\nAccording to police:\n800,000 to 1,300,000,000\nKELLER\n4444', 'Protest in Berlin today against the CV Lockdown and\ntyranny\nMSM says 20-25K protesters with most headlines\nsays ""thousands of people""...000\nAccording to police:\n800,000 to 1,300,000,000\nKELLER\n4444', [('eng', 0.9926390647888184)])]",['False information'],
34,"[(1614423140.0, 'fb')]",[],['False information'],"('Made in China masks are made of plastic, sprayed with chemicals and often contain RFID chips. (44 seconds) Single-use masks are typically made from polypropylene, a petrol fuel-derived plastic that can take hundreds of years to break down.', 'Made in China masks are made of plastic, sprayed with chemicals and often contain RFID chips. (44 seconds) Single-use masks are typically made from polypropylene, a petrol fuel-derived plastic that can take hundreds of years to break down.', [('eng', 1.0)])"
35,"[(1657679623.0, 'fb')]",[],['False information'],"('\u202aLas fuertes ráfagas de viento de la tormenta tropical #Hanna ocasionaron la caída de una parte del muro fronterizo entre Estados Unidos y México. \u202c', 'Strong gusts of wind from tropical storm #Hanna caused part of the border wall between the United States and Mexico to fall.', [('spa', 1.0)])"
36,"[(1629350087.0, 'fb')]","[('""Los Soldados y Policías no\nestaban Secuestrados.\nEllos estaban Pagando Cárcel\nallá en la Selva""\nFrancisco de Roux\nHáganme el hp favor!', '""Soldiers and policemen do not\nThey were kidnapped.\nThey were paying jail\nthere in the jungle""\nFrancis of Roux\nDo me the hp please!', [('spa', 0.851275622844696), ('spa', 0.14872440695762634)])]",['Partly false information'],"('Este sacerdote izquierdozo , es uno de los integrantes de la comisión de la verdad , según los acuerdos de la habana .', 'This leftist priest is one of the members of the truth commission , according to the Havana accords .', [('spa', 1.0)])"
37,"[(1613773263.0, 'fb')]",[],['False information'],"('코로나 바이러스를 이용한 정부의 통제에 반발해서 일어난 루마니아 국민들. 국민들이 이 정도만 깨어있어도 좋겠다.', 'Romanians protested against government controls using the coronavirus. I wish people could just stay awake like this.', [('kor', 1.0)])"
38,"[(1610431026.0, 'fb')]","[('2021\nCTIVE\n사\nPONAR\n1044\n다음 달부터 백신 접종 시작전 국민 무료 접종\n보건 복지부.....10번 전화해 어떤 종류의 백신 이냐고\n계속 전화 했더니....솔직히 답하네요\n화이자․모데나.아스트라..........아니고\n무료는 셀트리온 이라고', '2021\nCTIVE\nbuy\nPONAR\n1044\nFree vaccinations for the public before the start of vaccination starting next month\nMinistry of Health and Welfare.....Call 10 to find out what kind of vaccine\nI kept calling....I answer honestly.\nPfizer, Modena, Astra....not\nCelltrion for free', [('kor', 0.8895023465156555), ('eng', 0.028071150183677673)])]",['False information'],
39,"[(1629960123.0, 'fb')]",[],['Partly false information'],"('Último momento\n\nDetectan el primer caso de la variante Lambda en México. \nExactamente fue en el estado de Colima.\nSe habla de que la variante Lambda es mas peligrosa que la variante Delta.', 'Last moment\n\nThey detect the first case of the Lambda variant in Mexico.\nIt was exactly in the state of Colima.\nIt is said that the Lambda variant is more dangerous than the Delta variant.', [('spa', 1.0)])"
40,"[(1613014349.0, 'fb')]",[],[],"('{속보}이탈리아 경찰 & 군부대가 바티칸 시를 습격하고 소아성애자 추기경 체포 | UNnews 유엔뉴스 유엔신문\n', '{Breaking} Italian Police & Military Units Assault Vatican City and Arrest Pedophile Cardinal | UNnews UN News UN Newspaper\n', [('kor', 1.0)])"
41,"[(1614775405.0, 'fb')]",[],['Missing context.'],"('코로나는 감기수준도 안돼. 마스크안쓰기 및 자율 운동하자\n\n*호주 인구 제일 많은  NSW주 코로나종식선언. 한 달 째 마스크안쓰고 코로나감염 0,\n*미국 텍사스주 포함 16개주 마스크 자율에 맡김.폄', ""Corona is not even at the level of a cold. Let's not wear a mask and exercise autonomously\n\n* NSW has the largest population in Australia. Corona infection 0 without wearing a mask for a month,\n* 16 states, including Texas, leave masks to autonomy."", [('kor', 1.0)])"
42,"[(1565199899.0, 'fb'), (1574096168.0, 'fb')]",[],['False information'],"('Soy un Oso Polar recien nacido y me estoy extinguiendo... pero como no soy un meme no me harás viral...', ""I'm a newborn Polar Bear and I'm going extinct... but since I'm not a meme you won't make me viral..."", [('spa', 1.0)])"
43,"[(1520127049.0, 'fb')]",[],['False information'],"('Una vez más, mas naciones miran hacia otro lado, mientras un niño duerme al lado de las tumbas de sus padres muertos en Siria.\n\nLa indiferencia del mundo es cómplice de esta tragedia 😢', 'Once again, more nations look the other way, while a child sleeps next to the graves of his dead parents in Syria.\n\nThe indifference of the world is an accomplice to this tragedy 😢', [('spa', 1.0)])"
44,"[(1637174252.0, 'fb')]",[],['False information'],"('백신 접종을 하지 않은 사람들의 불법적인 봉쇄에 최대의 힘으로 저항하려고 길로 나온 오스트리아인.\n\nAustrians out in full force resisting and defying the illegal lockdown of non-vaxxinated people.', 'An Austrian who has gone out of his way to resist the illegal blockade of the unvaccinated with all his might.\n\nAustrians out in full force resisting and defying the illegal lockdown of non-vaxxinated people.', [('kor', 1.0)])"
45,"[(1638298215.0, 'ig')]","[('La Comisión Europea pide que\nse feliciten las ""fiestas"" y no\n""la Navidad"" en nombre de la\ninclusión\nEn un comunicado, la Comisión de Igualdad señala que hay', 'The European Commission asks that\ncongratulate the ""holidays"" and not\n""Christmas"" in the name of the\ninclusion\nIn a statement, the Equality Commission points out that there are', [('spa', 1.0)])]",[],"('Feliz Navidad a todos!🎄🎅🏻\n\nY los políticos que no festejan la Navidad que no se tomen vacaciones! 🙊😂', ""Merry Christmas everyone!🎄🎅🏻\n\nAnd politicians who don't celebrate Christmas shouldn't take vacations! 🙊😂"", [('spa', 1.0)])"
46,"[(1657244401.0, 'fb')]",[],['Missing context'],"('Productora de vacunas Merck ha desistido de seguir desarrollando dos vacunas para el\ncoronavirus anunciando que es más efectivo la recuperación natural que la vacuna. #SeVieneMás', 'Vaccine producer Merck has given up further development of two vaccines for the\ncoronavirus announcing that natural recovery is more effective than the vaccine. #SeComesMore', [('spa', 1.0)])"
